extracción,articulo,precio,descripcion,grupo_web,tallas,colores,enlace,marca,grupo,seccion
2024-05-19 18:34:13.419685,PANTALÓN ESTAMPADO ZW COLLECTION,39.95,"ZARA WOMAN COLLECTIONPantalón confeccionado en hilatura de viscosa 100%. Tiro medio y cintura con elástico en espalda. Pierna recta. Cierre frontal con cremallera, botón y gancho metálico.",V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/pantalon-estampado-zw-collection-p03468038.html,ZARA,PANTALÓN,MUJER
2024-05-19 18:34:13.419685,BLUSA RAMIO ESTAMPADA ZW COLLECTION,49.95,ZARA WOMAN COLLECTIONBlusa confeccionada en hilatura de ramio 100%. Cuello redondo y escote pico con manga larga abullonada acabada en elástico. Detalle de estampación a contraste. Cierre frontal con botones.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/blusa-ramio-estampada-zw-collection-p03431180.html,ZARA,BLUSA,MUJER
2024-05-19 18:34:13.419685,VESTIDO LENCERO LINO ZW COLLECTION,79.95,ZARA WOMAN COLLECTIONVestido midi confeccionado en hilatura de lino 100%. Escote pico y tirantes anchos. Detalle de aplicación de encaje a tono. Forro interior.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/vestido-lencero-lino-zw-collection-p04786082.html,ZARA,VESTIDO,MUJER
2024-05-19 18:34:13.419685,PANTALÓN PIJAMERO ESTAMPADO ZW COLLECTION,39.95,ZARA WOMAN COLLECTIONPantalón pijamero confeccionado en hilatura de algodón. Tiro medio y cintura elástica. Bolsillos laterales ocultos en costura. Detalle de estampación a contraste. Pierna recta.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/pantalon-pijamero-estampado-zw-collection-p02958185.html,ZARA,PANTALÓN,MUJER
2024-05-19 18:34:13.419685,VESTIDO MIDI BORDADOS ZW COLLECTION,89.95,ZARA WOMAN COLLECTIONVestido midi de cuello redondo y manga sisa. Detalle de bordados con aplicación de abalorios en delantero combinados a tono. Cierre en espalda con cremallera oculta en costura.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/vestido-midi-bordados-zw-collection-p06895045.html,ZARA,VESTIDO,MUJER
2024-05-19 18:34:13.419685,BOLSO CAJA CIERRE DORADO,39.95,Bolso formato caja. Efecto nacarado. Asa de cadena función bandolera. Cierre metálico.Alto x Ancho x Fondo: 11 x 22 x 7 cm.,V2024-MUJER-ULTIMA-SEMANA,[],[],https://www.zara.com/es/es/bolso-caja-cierre-dorado-p16517310.html,ZARA,BOLSO,MUJER
2024-05-19 18:34:13.419685,KIMONO ARRUGADO RÍGIDO,39.95,Kimono confeccionado en tejido rígido. Escote pico y manga corta. Cinturón en mismo tejido ajustable con lazadas. Detalle de tejido arrugado y rayas a contraste.,V2024-MUJER-ULTIMA-SEMANA,"['XS-S', 'M-L']",[],https://www.zara.com/es/es/kimono-arrugado-rigido-p00264069.html,ZARA,KIMONO,MUJER
2024-05-19 18:34:13.419685,VESTIDO SKATER ZW COLLECTION,49.95,ZARA WOMAN COLLECTIONVestido corto confeccionado en hilatura con mezcla de algodón. Cuello redondo y manga sisa. Bajo acabado en vuelo. Cierre en espalda con cremallera oculta en costura.La silueta skater se combina con las prendas de sastrería en este vestido de largura mini y costuras verticales que terminan en pequeños godets dando vuelo a la falda. Un vestido entallado en que despliega su volumen en el bajo.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/vestido-skater-zw-collection-p02989653.html,ZARA,VESTIDO,MUJER
2024-05-19 18:34:13.419685,BLAZER ENTALLADA MEZCLA LINO ZW COLLECTION,69.95,ZARA WOMAN COLLECTIONBlazer entallada confeccionada en hilatura con mezcla de lino. Cuello solapa de muescas y manga larga acabada en abertura y botones. Bolsillos con solapa en delantero y de vivo en pecho. Cierre frontal con botones.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/blazer-entallada-mezcla-lino-zw-collection-p02549586.html,ZARA,BLAZER,MUJER
2024-05-19 18:34:13.419685,JERSEY BÁSICO PUNTO LISO,25.95,Jersey de cuello redondo amplio y manga larga con hombro caído.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/jersey-basico-punto-liso-p05536069.html,ZARA,JERSEY,MUJER
2024-05-19 18:34:13.419685,CAMISA BORDADOS PERFORADOS ZW COLLECTION,29.95,ZARA WOMAN COLLECTIONCamisa confeccionada en hilatura de algodón 100%. Cuello solapa y manga por debajo del codo acabada en puño. Detalle de bordados perforados. Bajo asimétrico con aberturas laterales. Cierre frontal con botones.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/camisa-bordados-perforados-zw-collection-p04877071.html,ZARA,CAMISA,MUJER
2024-05-19 18:34:13.419685,VESTIDO TÚNICA RAMIO ESTAMPADO ZW COLLECTION,69.95,ZARA WOMAN COLLECTIONVestido tipo túnica confeccionado en hilatura de ramio 100%. Escote pico y manga larga abullonada acabada en elástico.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/vestido-tunica-ramio-estampado-zw-collection-p03474181.html,ZARA,VESTIDO,MUJER
